Data,Dia,Mês,Ano,Data_abr,Top,Titulo,Autor,Spotify_link
1958-08-04,4,8,1958,8/1958,1,Poor Little Fool,Ricky Nelson,https://open.spotify.com/track/5ayybTSXNwcarDtxQKqvWX
1958-08-04,4,8,1958,8/1958,2,Patricia,Perez Prado And His Orchestra,https://open.spotify.com/track/1BbZJplex0pifLjhuhoaK5
1958-08-04,4,8,1958,8/1958,3,Splish Splash,Bobby Darin,https://open.spotify.com/track/40fD7ct05FvQHLdQTgJelG
1958-08-04,4,8,1958,8/1958,4,Hard Headed Woman,Elvis Presley With The Jordanaires,https://open.spotify.com/track/32CVurlBxtEYQlDm3yzCLl
1958-08-04,4,8,1958,8/1958,5,When,Kalin Twins,https://open.spotify.com/track/3HZJ9BLBpDya4p71VfXSWp
1958-09-01,1,9,1958,9/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,https://open.spotify.com/track/1S9llGsYvhyIZG6FkSzhs9
1958-09-01,1,9,1958,9/1958,2,Little Star,The Elegants,https://open.spotify.com/track/67eLX8pb0aEvXWGQTpfRzf
1958-09-01,1,9,1958,9/1958,3,Bird Dog,The Everly Brothers,https://open.spotify.com/track/2ZCkqAo0tzzCVOth7ityh5
1958-09-01,1,9,1958,9/1958,4,Just A Dream,Jimmy Clanton And His Rockets,https://open.spotify.com/track/1fDKsQrMYOTGHYgyIxycmM
1958-09-01,1,9,1958,9/1958,5,Poor Little Fool,Ricky Nelson,https://open.spotify.com/track/5ayybTSXNwcarDtxQKqvWX
1958-10-06,6,10,1958,10/1958,1,It's All In The Game,Tommy Edwards,https://open.spotify.com/track/2tvt5K7y1gndmCgtIoLo1f
1958-10-06,6,10,1958,10/1958,2,Bird Dog,The Everly Brothers,https://open.spotify.com/track/2ZCkqAo0tzzCVOth7ityh5
1958-10-06,6,10,1958,10/1958,3,Rock-in Robin,Bobby Day,https://open.spotify.com/track/5sdZEmlwDJpISfCjyCneHi
1958-10-06,6,10,1958,10/1958,4,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,https://open.spotify.com/track/1S9llGsYvhyIZG6FkSzhs9
1958-10-06,6,10,1958,10/1958,5,Little Star,The Elegants,https://open.spotify.com/track/67eLX8pb0aEvXWGQTpfRzf
1958-11-03,3,11,1958,11/1958,1,It's All In The Game,Tommy Edwards,https://open.spotify.com/track/2tvt5K7y1gndmCgtIoLo1f
1958-11-03,3,11,1958,11/1958,2,It's Only Make Believe,Conway Twitty,https://open.spotify.com/track/1xVOttVNT27FBTD8iHjOfU
1958-11-03,3,11,1958,11/1958,3,Topsy II,Cozy Cole,https://open.spotify.com/track/3KVII1yBwfwuNQLZXma0oS
1958-11-03,3,11,1958,11/1958,4,Tom Dooley,The Kingston Trio,https://open.spotify.com/track/2qLxtO0iaFGI9x19vU3bDI
1958-11-03,3,11,1958,11/1958,5,Rock-in Robin,Bobby Day,https://open.spotify.com/track/5sdZEmlwDJpISfCjyCneHi
1958-12-01,1,12,1958,12/1958,1,"To Know Him, Is To Love Him",The Teddy Bears,https://open.spotify.com/track/2fa1vwxc0cs3tX7hTr7mSR
1958-12-01,1,12,1958,12/1958,2,Tom Dooley,The Kingston Trio,https://open.spotify.com/track/2qLxtO0iaFGI9x19vU3bDI
1958-12-01,1,12,1958,12/1958,3,It's Only Make Believe,Conway Twitty,https://open.spotify.com/track/1xVOttVNT27FBTD8iHjOfU
1958-12-01,1,12,1958,12/1958,4,Beep Beep,The Playmates,https://open.spotify.com/track/4dHj1lNBs6aWDiki4LXj8W
1958-12-01,1,12,1958,12/1958,5,One Night,Elvis Presley,https://open.spotify.com/track/3nwxwYSwdFvyLngepyPxOZ
1959-01-05,5,1,1959,1/1959,1,The Chipmunk Song,The Chipmunks With David Seville,https://open.spotify.com/track/7mZwaEEaHSeTYC2hTAjUki
1959-01-05,5,1,1959,1/1959,2,Smoke Gets In Your Eyes,The Platters,https://open.spotify.com/track/2vSxjnyrWrtxyfzO47EX6q
1959-01-05,5,1,1959,1/1959,3,"To Know Him, Is To Love Him",The Teddy Bears,https://open.spotify.com/track/2fa1vwxc0cs3tX7hTr7mSR
1959-01-05,5,1,1959,1/1959,4,Problems,The Everly Brothers,https://open.spotify.com/track/4hP36wOQcgUUMqtaSj9u1e
1959-01-05,5,1,1959,1/1959,5,One Night,Elvis Presley,https://open.spotify.com/track/3nwxwYSwdFvyLngepyPxOZ
1959-02-02,2,2,1959,2/1959,1,Smoke Gets In Your Eyes,The Platters,https://open.spotify.com/track/2vSxjnyrWrtxyfzO47EX6q
1959-02-02,2,2,1959,2/1959,2,The All American Boy,Bill Parsons,https://open.spotify.com/track/2JXQ9QIe9TaaHpCt0mORyO
1959-02-02,2,2,1959,2/1959,3,Donna,Ritchie Valens,https://open.spotify.com/track/0VE4ayVlGs5DBoqOdgJ0Zv
1959-02-02,2,2,1959,2/1959,4,16 Candles,The Crests,https://open.spotify.com/track/3Timk4Wy8wnJDCfq6O7YDW
1959-02-02,2,2,1959,2/1959,5,Stagger Lee,Lloyd Price,https://open.spotify.com/track/7qoaMWT3eRCKG1RN6dVuOY
1959-03-02,2,3,1959,3/1959,1,Stagger Lee,Lloyd Price,https://open.spotify.com/track/7qoaMWT3eRCKG1RN6dVuOY
1959-03-02,2,3,1959,3/1959,2,Donna,Ritchie Valens,https://open.spotify.com/track/0VE4ayVlGs5DBoqOdgJ0Zv
1959-03-02,2,3,1959,3/1959,3,Charlie Brown,The Coasters,https://open.spotify.com/track/58XdPzuTduoojSzbEwei5s
1959-03-02,2,3,1959,3/1959,4,16 Candles,The Crests,https://open.spotify.com/track/3Timk4Wy8wnJDCfq6O7YDW
1959-03-02,2,3,1959,3/1959,5,Petite Fleur (Little Flower),Chris Barber's Jazz Band,https://open.spotify.com/track/2Yv9W2gB5SxAjnP8RFPvdK
1959-04-06,6,4,1959,4/1959,1,Venus,Frankie Avalon,https://open.spotify.com/track/1odzZRPb3CvbIT2xU5vFma
1959-04-06,6,4,1959,4/1959,2,Come Softly To Me,The Fleetwoods,https://open.spotify.com/track/603N4XGJUTbK760GLCvIIs
1959-04-06,6,4,1959,4/1959,3,It's Just A Matter Of Time,Brook Benton,https://open.spotify.com/track/1v31Ib9Yzpc9buzF5wNvfE
1959-04-06,6,4,1959,4/1959,4,Pink Shoe Laces,Dodie Stevens,https://open.spotify.com/track/2DifRe6kiKZjeB1IqFl2jJ
1959-05-04,4,5,1959,5/1959,1,Come Softly To Me,The Fleetwoods,https://open.spotify.com/track/603N4XGJUTbK760GLCvIIs
